Table for function t*(y-x^2)^2 + (1-x)^2: 
t	fCount
0	49
0.1	457
0.2	457
0.3	321
0.4	317
0.5	317
0.6	317
0.7	445
0.8	445
0.9	313
1	313
1.1	445
1.2	577
1.3	577
1.4	709
1.5	709
1.6	709
1.7	709
1.8	841
1.9	841
2	841
2.1	841
2.2	841
2.3	973
2.4	973
2.5	973
2.6	973
2.7	973
2.8	973
2.9	973
3	973
3.1	973
3.2	973
3.3	1105
3.4	1105
3.5	1105
3.6	1105
3.7	1105
3.8	1105
3.9	1105
4	1105
4.1	1237
4.2	1237
4.3	1237
4.4	1237
4.5	1237
4.6	1237
4.7	1237
4.8	1237
4.9	1237
5	1237
5.1	1237
5.2	1237
5.3	1237
5.4	1237
5.5	1237
5.6	1237
5.7	1237
5.8	1237
5.9	1237
6	1237
6.1	1237
6.2	1237
6.3	1237
6.4	1237
6.5	1237
6.6	1237
6.7	1369
6.8	1369
6.9	1369
7	1369
7.1	1369
7.2	1369
7.3	1369
7.4	1369
7.5	1369
7.6	1369
7.7	1369
7.8	1369
7.9	1369
8	1369
8.1	1501
8.2	1501
8.3	1501
8.4	1501
8.5	1501
8.6	1501
8.7	1501
8.8	1501
8.9	1501
9	1501
9.1	1501
9.2	1501
9.3	1501
9.4	1501
9.5	1501
9.6	1501
9.7	1501
9.8	1501
9.9	1501
10	1501
10.1	1501
10.2	1501
10.3	1501
10.4	1501
10.5	1501
10.6	1501
10.7	1501
10.8	1501
10.9	1501
11	1501
11.1	1501
11.2	1501
11.3	1501
11.4	1501
11.5	1501
11.6	1501
11.7	1501
11.8	1501
11.9	1501
12	1501
12.1	1501
12.2	1501
12.3	1501
12.4	1501
12.5	1501
12.6	1501
12.7	1501
12.8	1501
12.9	1501
13	1501
13.1	1501
13.2	1501
13.3	1501
13.4	1501
13.5	1501
13.6	1501
13.7	1501
13.8	1501
13.9	1501
14	1501
14.1	1501
14.2	1501
14.3	1501
14.4	1501
14.5	1501
14.6	1501
14.7	1501
14.8	1501
14.9	1501
15	1501
15.1	1501
15.2	1501
15.3	1501
15.4	1501
15.5	1501
15.6	1501
15.7	1501
15.8	1501
15.9	1501
16	1501
16.1	1501
16.2	1501
16.3	1501
16.4	1501
16.5	1501
16.6	1501
16.7	1501
16.8	1501
16.9	1501
17	1501
17.1	1501
17.2	1501
17.3	1501
17.4	1501
17.5	1501
17.6	1501
17.7	1501
17.8	1501
17.9	1501
18	1501
18.1	1501
18.2	1501
18.3	1501
18.4	1501
18.5	1501
18.6	1501
18.7	1501
18.8	1501
18.9	1501
19	1501
19.1	1369
19.2	1369
19.3	1369
19.4	1369
19.5	1369
19.6	1237
19.7	1237
19.8	1237
19.9	1237
20	1237
20.1	1237
20.2	1237
20.3	1237
20.4	1237
20.5	1237
20.6	1237
20.7	1237
20.8	1237
20.9	1105
21	1105
21.1	973
21.2	973
21.3	973
21.4	973
21.5	973
21.6	973
21.7	841
21.8	709
21.9	709
22	709
22.1	577
22.2	445
22.3	445
22.4	445
22.5	445
22.6	445
22.7	445
22.8	445
22.9	445
23	445
23.1	445
23.2	709
23.3	709
23.4	709
23.5	709
23.6	841
23.7	973
23.8	973
23.9	973
24	973
24.1	973
24.2	973
24.3	1105
24.4	1105
24.5	1237
24.6	1237
24.7	1237
24.8	1237
24.9	1237
25	1237
25.1	1237
25.2	1237
25.3	1237
25.4	1237
25.5	1369
25.6	1369
25.7	1369
25.8	1501
25.9	1501
26	1501
26.1	1501
26.2	1501
26.3	1501
26.4	1501
26.5	1501
26.6	1501
26.7	1501
26.8	1501
26.9	1501
27	1501
27.1	1501
27.2	1501
27.3	1501
27.4	1501
27.5	1501
27.6	1633
27.7	1633
27.8	1633
27.9	1633
28	1633
28.1	1765
28.2	1765
28.3	1765
28.4	1765
28.5	1765
28.6	1765
28.7	1765
28.8	1765
28.9	1765
29	1765
29.1	1765
29.2	1765
29.3	1765
29.4	1765
29.5	1765
29.6	1765
29.7	1765
29.8	1765
29.9	1765
30	1765
30.1	1765
30.2	1765
30.3	1765
30.4	1765
30.5	1765
30.6	1765
30.7	1765
30.8	1765
30.9	1765
31	1765
31.1	1765
31.2	1897
31.3	1765
31.4	1897
31.5	1897
31.6	1897
31.7	1897
31.8	1897
31.9	1897
32	2029
32.1	2029
32.2	2029
32.3	2029
32.4	2029
32.5	2029
32.6	2029
32.7	2029
32.8	2029
32.9	2029
33	2029
33.1	2029
33.2	2029
33.3	2029
33.4	2029
33.5	2029
33.6	2029
33.7	2029
33.8	2029
33.9	2029
34	2029
34.1	2029
34.2	2029
34.3	2029
34.4	2029
34.5	2029
34.6	2029
34.7	2029
34.8	2029
34.9	2029
35	2029
35.1	2029
35.2	2029
35.3	2029
35.4	2029
35.5	2029
35.6	2029
35.7	2029
35.8	2029
35.9	2029
36	2029
36.1	2029
36.2	2029
36.3	2029
36.4	2029
36.5	2029
36.6	2029
36.7	2029
36.8	2029
36.9	2029
37	2029
37.1	2029
37.2	2029
37.3	2029
37.4	2029
37.5	2029
37.6	2029
37.7	2029
37.8	2029
37.9	2029
38	2029
38.1	2029
38.2	2029
38.3	2029
38.4	2029
38.5	2029
38.6	2029
38.7	2029
38.8	2029
38.9	2029
39	2029
39.1	2029
39.2	2029
39.3	2029
39.4	2029
39.5	2029
39.6	2029
39.7	2029
39.8	2029
39.9	2029
40	2029
40.1	2029
40.2	2029
40.3	2029
40.4	2029
40.5	2029
40.6	2029
40.7	2029
40.8	2029
40.9	2029
41	2029
41.1	2029
41.2	2029
41.3	2029
41.4	2029
41.5	2029
41.6	2029
41.7	2029
41.8	2029
41.9	2029
42	2029
42.1	2029
42.2	2029
42.3	2029
42.4	2029
42.5	2029
42.6	2029
42.7	2029
42.8	2029
42.9	2029
43	2029
43.1	2029
43.2	2029
43.3	2029
43.4	2029
43.5	2029
43.6	2029
43.7	2029
43.8	2029
43.9	2029
44	2029
44.1	2029
44.2	2029
44.3	2029
44.4	2029
44.5	2029
44.6	2029
44.7	2029
44.8	2029
44.9	2029
45	2029
45.1	2029
45.2	2029
45.3	2029
45.4	2029
45.5	1897
45.6	1897
45.7	2029
45.8	1897
45.9	1897
46	1897
46.1	1765
46.2	1765
46.3	1765
46.4	1765
46.5	1765
46.6	1765
46.7	1765
46.8	1765
46.9	1765
