x0 = $(-1, 0)^T$, startPenaltyCoef = 1, eps = 1e-07
penaltyExponent	iter	fCount	restriction_value	grad.norm()
1.1	1	15373	0	1.131370944
1.2	1	15373	0	1.131370944
1.3	1	15733	0	1.131370944
1.4	1	17633	2.310485137e-13	1.131370944
1.5	1	17545	2.475519789e-13	1.131370944
1.6	1	17457	2.640554442e-13	1.131370944
1.7	1	17381	2.805589094e-13	1.131370944
1.8	1	17313	2.970623747e-13	1.131370944
1.9	1	17273	3.1356584e-13	1.131370944
2	1	17273	3.300693052e-13	1.131370944
2.1	1	17273	3.465727705e-13	1.131370944
2.2	1	17273	3.630762357e-13	1.131370944
2.3	1	17273	3.79579701e-13	1.131370944
2.4	1	17273	3.960831663e-13	1.131370944
2.5	1	17273	4.125866315e-13	1.131370944
2.6	1	17273	4.290900968e-13	1.131370944
2.7	1	17273	4.45593562e-13	1.131370944
2.8	1	17273	4.620970273e-13	1.131370944
2.9	1	17237	4.786004926e-13	1.131370944
3	1	17185	4.951039578e-13	1.131370944
3.1	1	17141	5.116074231e-13	1.131370944
3.2	1	17101	5.281108884e-13	1.131370944
3.3	1	17061	5.446143536e-13	1.131370944
3.4	1	17021	5.611178189e-13	1.131370944
3.5	1	16989	5.776212841e-13	1.131370944
3.6	1	16953	5.941247494e-13	1.131370944
3.7	1	1679	0	0.8000000662
3.8	1	1679	0	0.8000000662
3.9	1	1679	0	0.8000000662
4	1	1679	0	0.8000000662
4.1	1	1679	0	0.8000000662
4.2	1	1679	0	0.8000000662
4.3	1	1679	0	0.8000000662
4.4	1	1679	0	0.8000000662
4.5	1	1679	0	0.8000000662
4.6	1	1679	0	0.8000000662
4.7	1	1679	0	0.8000000662
4.8	1	1679	0	0.8000000662
4.9	1	1679	0	0.8000000662
5	1	1679	0	0.8000000662
5.1	1	1679	0	0.8000000662
5.2	1	1679	0	0.8000000662
5.3	1	1679	0	0.8000000662
5.4	1	1679	0	0.8000000662
5.5	1	1679	0	0.8000000662
5.6	1	1679	0	0.8000000662
5.7	1	1679	0	0.8000000662
5.8	1	1679	0	0.8000000662
5.9	1	1679	0	0.8000000662
6	1	1679	0	0.8000000662
6.1	1	1679	0	0.8000000662
6.2	1	1679	0	0.8000000662
6.3	1	1679	0	0.8000000662
6.4	1	1679	0	0.8000000662
6.5	1	1679	0	0.8000000662
6.6	1	1679	0	0.8000000662
6.7	1	1679	0	0.8000000662
6.8	1	1679	0	0.8000000662
6.9	1	1679	0	0.8000000662
7	1	1679	0	0.8000000662
7.1	1	1679	0	0.8000000662
7.2	1	1679	0	0.8000000662
7.3	1	1679	0	0.8000000662
7.4	1	1679	0	0.8000000662
7.5	1	1679	0	0.8000000662
7.6	1	1679	0	0.8000000662
7.7	1	1679	0	0.8000000662
7.8	1	1679	0	0.8000000662
7.9	1	1679	0	0.8000000662
8	1	1679	0	0.8000000662
8.1	1	1679	0	0.8000000662
8.2	1	1679	0	0.8000000662
8.3	1	1679	0	0.8000000662
8.4	1	1679	0	0.8000000662
8.5	1	1679	0	0.8000000662
8.6	1	1679	0	0.8000000662
8.7	1	1679	0	0.8000000662
8.8	1	1679	0	0.8000000662
8.9	1	1679	0	0.8000000662
9	1	1679	0	0.8000000662
9.1	1	1679	0	0.8000000662
9.2	1	1679	0	0.8000000662
9.3	1	1679	0	0.8000000662
9.4	1	1679	0	0.8000000662
9.5	1	1679	0	0.8000000662
9.6	1	1679	0	0.8000000662
9.7	1	1679	0	0.8000000662
9.8	1	1679	0	0.8000000662
9.9	1	1679	0	0.8000000662
10	1	1679	0	0.8000000662
10.1	1	1679	0	0.8000000662
10.2	1	1679	0	0.8000000662
10.3	1	1679	0	0.8000000662
10.4	1	1679	0	0.8000000662
10.5	1	1679	0	0.8000000662
10.6	1	1679	0	0.8000000662
10.7	1	1679	0	0.8000000662
10.8	1	1679	0	0.8000000662
10.9	1	1679	0	0.8000000662
11	1	1679	0	0.8000000662
11.1	1	1679	0	0.8000000662
11.2	1	1679	0	0.8000000662
11.3	1	1679	0	0.8000000662
11.4	1	1679	0	0.8000000662
11.5	1	1679	0	0.8000000662
11.6	1	1679	0	0.8000000662
11.7	1	1679	0	0.8000000662
11.8	1	1679	0	0.8000000662
11.9	1	1679	0	0.8000000662
12	1	1679	0	0.8000000662
12.1	1	1679	0	0.8000000662
12.2	1	1679	0	0.8000000662
12.3	1	1679	0	0.8000000662
12.4	1	1679	0	0.8000000662
12.5	1	1679	0	0.8000000662
12.6	1	1679	0	0.8000000662
12.7	1	1679	0	0.8000000662
12.8	1	1679	0	0.8000000662
12.9	1	1679	0	0.8000000662
13	1	1679	0	0.8000000662
13.1	1	1679	0	0.8000000662
13.2	1	1679	0	0.8000000662
13.3	1	1679	0	0.8000000662
13.4	1	1679	0	0.8000000662
13.5	1	1679	0	0.8000000662
13.6	1	1679	0	0.8000000662
13.7	1	1679	0	0.8000000662
13.8	1	1679	0	0.8000000662
13.9	1	1679	0	0.8000000662
14	1	1679	0	0.8000000662
14.1	1	1679	0	0.8000000662
14.2	1	1679	0	0.8000000662
14.3	1	1679	0	0.8000000662
14.4	1	1679	0	0.8000000662
14.5	1	1679	0	0.8000000662
14.6	1	1679	0	0.8000000662
14.7	1	1679	0	0.8000000662
14.8	1	1679	0	0.8000000662
14.9	1	1679	0	0.8000000662
15	1	1679	0	0.8000000662
15.1	1	1679	0	0.8000000662
15.2	1	1679	0	0.8000000662
15.3	1	1679	0	0.8000000662
15.4	1	1679	0	0.8000000662
15.5	1	1679	0	0.8000000662
15.6	1	1679	0	0.8000000662
15.7	1	1679	0	0.8000000662
15.8	1	1679	0	0.8000000662
15.9	1	1679	0	0.8000000662
16	1	1679	0	0.8000000662
16.1	1	1679	0	0.8000000662
16.2	1	1679	0	0.8000000662
16.3	1	1679	0	0.8000000662
16.4	1	1679	0	0.8000000662
16.5	1	1679	0	0.8000000662
16.6	1	1679	0	0.8000000662
16.7	1	1679	0	0.8000000662
16.8	1	1679	0	0.8000000662
16.9	1	1679	0	0.8000000662
17	1	1679	0	0.8000000662
17.1	1	1679	0	0.8000000662
17.2	1	1679	0	0.8000000662
17.3	1	1679	0	0.8000000662
17.4	1	1679	0	0.8000000662
17.5	1	1679	0	0.8000000662
17.6	1	1679	0	0.8000000662
17.7	1	1679	0	0.8000000662
17.8	1	1679	0	0.8000000662
17.9	1	1679	0	0.8000000662
18	1	1679	0	0.8000000662
18.1	1	1679	0	0.8000000662
18.2	1	1679	0	0.8000000662
18.3	1	1679	0	0.8000000662
18.4	1	1679	0	0.8000000662
18.5	1	1679	0	0.8000000662
18.6	1	1679	0	0.8000000662
18.7	1	1679	0	0.8000000662
18.8	1	1679	0	0.8000000662
18.9	1	1679	0	0.8000000662
19	1	1679	0	0.8000000662
19.1	1	1679	0	0.8000000662
19.2	1	1679	0	0.8000000662
19.3	1	1679	0	0.8000000662
19.4	1	1679	0	0.8000000662
19.5	1	1679	0	0.8000000662
19.6	1	1679	0	0.8000000662
19.7	1	1679	0	0.8000000662
19.8	1	1679	0	0.8000000662
19.9	1	1679	0	0.8000000662
