x0 = $(-1, 0)^T$, eps = 1e-07, penaltyExporent = 2
startPenaltyCoef	iter	fCount	restriction_value	grad.norm()
1.1	4	16513	2.535344379e-09	22.73748008
1.2	4	26088	2.456249604e-09	23.49921489
1.3	4	6863	3.579936347e-09	25.07862869
1.4	4	13196	7.65710908e-09	22.43608236
1.5	4	30211	4.148867916e-09	26.57855905
1.6	4	5631	5.044569207e-10	28.20455166
1.7	4	15569	3.74905369e-09	29.90102952
1.8	4	12987	1.782605423e-08	28.55795793
1.9	4	28348	5.664798408e-10	26.5480657
2	3	22046	1.396182725e-08	21.77293851
2.1	3	16013	3.636695212e-09	22.39948976
2.2	3	24073	2.535344379e-09	22.73748471
2.3	3	10916	6.416536813e-09	23.15480512
2.4	3	3063	3.938733073e-09	23.49921929
2.5	3	22328	1.434403707e-09	24.27229191
2.6	3	3081	3.14138866e-09	25.07863267
2.7	3	15982	2.937093768e-09	23.78317783
2.8	3	14915	9.083843366e-09	22.43608236
2.9	3	15357	2.698002177e-09	25.7961928
3	3	14881	2.791004761e-09	26.57855905
3.1	3	19451	3.892409772e-09	27.38195461
3.2	3	21558	5.069011877e-10	28.20455166
3.3	3	17641	1.500443503e-09	29.04473103
3.4	3	4177	2.29234729e-09	29.90102651
3.5	3	16655	1.733189325e-08	29.60288495
3.6	3	17418	8.126862383e-09	28.55795793
3.7	3	23059	5.511189727e-10	27.53870979
3.8	3	18735	5.665135916e-10	26.54807791
3.9	2	3094	4.708016377e-09	21.75228352
4	2	13556	9.299334636e-09	21.77293851
4.1	2	2432	1.04844208e-08	22.02118455
4.2	2	15583	3.636695212e-09	22.39948976
4.3	2	21902	1.563884044e-09	22.20568153
4.4	2	2370	4.125222119e-09	22.73748471
4.5	2	5566	2.783113739e-09	23.121074
4.6	2	6518	2.619181139e-09	23.15479963
4.7	2	17007	6.097923855e-09	22.33629885
4.8	2	12147	3.14447135e-09	23.49921489
4.9	2	3492	2.939177701e-09	23.88138967
5	2	23465	6.169971201e-09	24.27229191
5.1	2	2867	2.416459832e-09	24.67150021
5.2	2	12395	1.238860037e-09	25.07862869
5.3	2	1612	1.257247284e-08	24.5026931
5.4	2	17152	1.008283057e-09	23.78318215
5.5	2	10284	1.813314832e-09	23.09338894
5.6	2	6243	7.463777507e-09	22.43608236
5.7	2	9592	5.680038573e-09	21.81417015
5.8	2	23137	4.010732013e-09	25.7961868
5.9	2	18270	3.677630289e-09	26.18462707
6	2	2094	2.790226716e-09	26.57855905
6.1	2	15731	4.889102456e-09	26.97774678
6.2	2	17824	2.251416831e-09	27.38194768
6.3	2	1917	6.091287474e-09	27.79095048
6.4	2	1591	2.270604682e-09	28.20455795
6.5	2	16235	2.309015645e-09	28.62254273
6.6	2	22483	5.758748145e-10	29.04473103
6.7	2	5817	5.820651516e-10	29.47095808
6.8	2	13670	3.343137323e-09	29.90102308
6.9	2	1758	1.555894054e-08	30.13413189
7	2	1766	6.737272074e-09	29.60287854
7.1	2	15545	1.034121802e-08	29.0773813
7.2	2	16160	1.464584614e-08	28.55795161
7.3	2	16198	5.437103212e-10	28.04495553
7.4	2	17119	5.5105982e-10	27.53871322
7.5	2	15010	4.893458971e-09	27.03961111
7.6	2	14660	4.95866459e-09	26.54807181
7.7	1	13964	5.327184471e-10	21.65684479
7.8	1	13408	4.461414704e-09	21.75228849
7.9	1	946	2.092103868e-09	21.84927515
8	1	13460	7.226365284e-09	21.77293851
8.1	1	4680	2.174953417e-09	22.0777971
8.2	1	12123	1.471757738e-09	22.02118942
8.3	1	2345	4.975813184e-09	22.21101511
8.4	1	14368	2.318658332e-09	22.39948976
8.5	1	10682	5.36472422e-10	22.59112527
8.6	1	7167	8.039679233e-09	22.20568153
8.7	1	783	7.709746841e-09	21.77438795
8.8	1	786	6.350116166e-09	22.73748471
8.9	1	4321	1.959047546e-09	22.92790624
9	1	2578	4.391363273e-09	23.121074
9.1	1	632	5.40230003e-09	23.31693498
9.2	1	2567	6.317648449e-09	23.15479963
9.3	1	3727	7.413134773e-09	22.73892987
9.4	1	9960	6.148576492e-09	22.33629885
9.5	1	535	8.237460047e-09	21.94761071
9.6	1	3273	5.123487767e-09	23.49921929
9.7	1	989	3.176847185e-09	23.68918743
9.8	1	12801	1.000106664e-09	23.88138967
9.9	1	538	2.698772406e-09	24.07577674
10	1	14395	4.361968564e-09	24.27229765
10.1	1	1959	8.150285336e-10	24.47088554
10.2	1	11667	2.029794732e-09	24.67150021
10.3	1	536	1.854320342e-09	24.87409665
10.4	1	2018	3.580250407e-09	25.07862869
10.5	1	426	1.115796455e-08	24.87279771
10.6	1	12574	3.244429703e-09	24.5026931
10.7	1	745	2.094036455e-09	24.13938268
10.8	1	6666	1.014593369e-08	23.78317783
10.9	1	13342	2.132920773e-09	23.43440697
11	1	424	1.633149882e-08	23.09339347
11.1	1	7528	4.147539645e-10	22.76049966
11.2	1	6690	5.346958432e-09	22.43607707
11.3	1	13721	2.364539498e-09	22.12051452
11.4	1	10073	2.799328502e-09	21.81418019
11.5	1	435	3.972832063e-09	25.60410298
11.6	1	13726	7.772587907e-10	25.7961868
11.7	1	15742	5.112034795e-10	25.98971193
11.8	1	3805	1.720589804e-09	26.18462102
11.9	1	15742	5.193712571e-10	26.38092209
12	1	12574	2.790812914e-09	26.57855905
12.1	1	15742	5.278798731e-10	26.77751437
