x0 = $(-1, 0)^T$, eps = 1e-07, penaltyExporent = 0.5
startPenaltyCoef	iter	fCount	restriction_value	grad.norm()
1.1	11	31741	7.634395177e-08	0.9764239534
1.2	11	32734	8.277513938e-08	0.9764368435
1.3	11	22335	8.916479102e-08	0.976449336
1.4	11	33123	9.55167456e-08	0.9764614549
1.5	12	35431	5.34550539e-08	0.97637478
1.6	12	33664	5.676701979e-08	0.97638227
1.7	12	49846	6.006339794e-08	0.9763895976
1.8	12	47335	6.334550997e-08	0.9763967309
1.9	12	32804	6.661382249e-08	0.9764037438
2	12	33128	6.98692245e-08	0.9764106261
2.1	12	34117	7.311263075e-08	0.976417338
2.2	12	41637	7.634395177e-08	0.9764239534
2.3	12	50910	7.956524528e-08	0.9764304621
2.4	12	33494	8.277513938e-08	0.9764368435
2.5	12	36738	8.597464414e-08	0.9764431374
2.6	12	23263	8.916479102e-08	0.976449336
2.7	12	22471	9.234541765e-08	0.9764554426
2.8	12	33891	9.55167456e-08	0.9764614549
2.9	12	25687	9.867970765e-08	0.9764673752
3	13	36192	5.34550539e-08	0.97637478
3.1	13	35263	5.511313199e-08	0.9763785432
3.2	13	34430	5.676701979e-08	0.97638227
3.3	13	34051	5.841712389e-08	0.9763859503
3.4	13	50607	6.006339794e-08	0.9763895976
3.5	13	33752	6.170627657e-08	0.9763931824
3.6	13	48099	6.334550997e-08	0.9763967309
3.7	13	34615	6.498125972e-08	0.9764002828
3.8	13	33560	6.661382249e-08	0.9764037438
3.9	13	33740	6.824294337e-08	0.9764071855
4	13	33888	6.98692245e-08	0.9764106261
4.1	13	48251	7.14920706e-08	0.9764139997
4.2	13	35032	7.311263075e-08	0.976417338
4.3	13	36451	7.472981916e-08	0.9764206594
4.4	13	43446	7.634395177e-08	0.9764239534
4.5	13	38758	7.795609352e-08	0.9764272236
4.6	13	51652	7.956524528e-08	0.9764304621
4.7	13	36382	8.11710283e-08	0.9764336687
4.8	13	34258	8.277513938e-08	0.9764368435
4.9	13	35083	8.437551664e-08	0.9764400103
5	13	37649	8.597464414e-08	0.9764431374
5.1	13	25010	8.757059291e-08	0.9764462407
5.2	13	27092	8.916479102e-08	0.976449336
5.3	13	23361	9.075603965e-08	0.9764523916
5.4	13	23390	9.234541765e-08	0.9764554426
5.5	13	38660	9.393196902e-08	0.976458455
5.6	13	34649	9.55167456e-08	0.9764614549
5.7	13	22862	9.709928291e-08	0.976464423
