N	c1	c2	c3	c4	c5	c6	a1	a2	a3	a4	a5	a6	b1	b2	b3	b4	b5	b6	
1	5	5	3	6	2	3	-9	-10	8	-6	-9	1	-3	-1	8	-5	-3	5	
2	2	4	2	6	2	3	-3	-6	2	6	-3	8	6	-8	-8	8	-4	-1	
3	6	2	4	2	8	8	-3	4	-8	-6	3	-6	9	-7	3	-9	-2	-8	
4	4	9	1	7	5	6	7	-9	6	-8	-10	-2	9	-1	5	-2	-8	-4	
5	1	2	10	5	7	9	0	0	3	-7	6	6	-1	-4	-2	-6	-10	1	
6	7	9	10	6	5	7	-6	-7	8	-9	9	0	9	7	-8	3	8	7	
7	2	3	8	3	2	8	3	-5	0	3	-4	6	-4	-6	-1	7	0	5	
8	2	1	7	2	8	4	5	2	-9	0	-3	-3	4	0	-6	-3	7	3	
9	10	9	7	9	3	10	-5	8	-8	0	-10	5	-1	-9	-4	3	1	0	
10	9	2	2	1	9	5	-6	-7	-8	6	6	9	7	5	0	4	-9	-2	
11	4	9	8	4	8	8	-9	9	-10	-3	-2	-9	4	8	-2	-2	-7	0	
12	10	2	10	4	5	3	3	6	-10	6	-6	-1	4	5	-1	8	-2	-1	
